name,id,dob,status,grade
Tasnia Neal,1,12/26/2016,enrolled,9
Sheila Singleton,2,12/26/2016,enrolled,9
Esha Quintana,3,12/26/2016,enrolled,9
Alison Hughes,4,12/26/2016,enrolled,9
Paris Casey,5,12/26/2016,enrolled,9
Beyonce Bowen,6,12/26/2016,enrolled,9
Lee Gregory,7,12/26/2016,enrolled,9
Kaja White,8,12/26/2016,enrolled,9
Martha Thompson,9,12/26/2016,enrolled,9
Mya Fox,10,12/26/2016,enrolled,9
Ocean Cardenas,11,12/26/2016,enrolled,9
Zunaira Hopkins,12,12/26/2016,enrolled,9
Corrie Calvert,13,12/26/2016,enrolled,9
Marcelina Yang,14,12/26/2016,enrolled,9
Ray Eastwood,15,12/26/2016,enrolled,9
Samah Mac,16,12/26/2016,enrolled,9
Alannah Snider,17,12/26/2016,enrolled,9
Kerri Rojas,18,12/26/2016,enrolled,9
Eryn Wagstaff,19,12/26/2016,enrolled,9
Jo Potts,20,12/26/2016,enrolled,9
Jodi Swan,21,12/26/2016,enrolled,9
Samera Rees,22,12/26/2016,enrolled,9
Ariella Carpenter,23,12/26/2016,enrolled,9
Ellesha Arroyo,24,12/26/2016,enrolled,9
Maegan Bonner,25,12/26/2016,enrolled,9
Lena Mcgregor,26,12/26/2016,enrolled,9
Mary Coles,27,12/26/2016,enrolled,9
Lyndsey Frame,28,12/26/2016,enrolled,9
Sion Dawson,29,12/26/2016,enrolled,9
Tasnim Tate,30,12/26/2016,enrolled,9
Joyce Gamble,31,12/26/2016,enrolled,9
Farzana Day,32,12/26/2016,enrolled,9
Zhane Spears,33,12/26/2016,enrolled,9
Kerrie Harvey,34,12/26/2016,enrolled,9
Lillia Buckner,35,12/26/2016,enrolled,9
Lowri Bradford,36,12/26/2016,enrolled,9
Mehreen Golden,37,12/26/2016,enrolled,9
Ashlee Koch,38,12/26/2016,enrolled,9
Rhianne Hendrix,39,12/26/2016,enrolled,9
Casey Mellor,40,12/26/2016,enrolled,9
Aanya Kay,41,12/26/2016,enrolled,9
Lily-Mai Southern,42,12/26/2016,enrolled,9
Bobbie Hayes,43,12/26/2016,enrolled,9
Tulisa Montgomery,44,12/26/2016,enrolled,9
Wyatt Mendoza,45,12/26/2016,enrolled,9
Leila Pike,46,12/26/2016,enrolled,9
Syed Douglas,47,12/26/2016,enrolled,9
Dante Beltran,48,12/26/2016,enrolled,9
Tobi Cullen,49,12/26/2016,enrolled,9
Dione Vance,50,12/26/2016,enrolled,9
Zahrah Blair,51,12/26/2016,enrolled,9
Verity Gough,52,12/26/2016,enrolled,9
Aqsa Feeney,53,12/26/2016,enrolled,9
Mia-Rose Lyons,54,12/26/2016,enrolled,9
Aniqa Ochoa,55,12/26/2016,enrolled,9
Leoni Woods,56,12/26/2016,enrolled,9
Terri Malone,57,12/26/2016,enrolled,9
Mari Marks,58,12/26/2016,enrolled,9
Ariya Davey,59,12/26/2016,enrolled,9
Alix Clemons,60,12/26/2016,enrolled,9
Priscilla Doyle,61,12/26/2016,enrolled,9
Shelley Villa,62,12/26/2016,enrolled,9
Zainab Haines,63,12/26/2016,enrolled,9
Stevie Walls,64,12/26/2016,enrolled,9
Emilee Zimmerman,65,12/26/2016,enrolled,9
Harmony Berry,66,12/26/2016,enrolled,9
Milena Andersen,67,12/26/2016,enrolled,9
Olivia-Rose Gunn,68,12/26/2016,enrolled,9
Hazel Cole,69,12/26/2016,enrolled,9
Shazia Jaramillo,70,12/26/2016,enrolled,9
Doris Cameron,71,12/26/2016,enrolled,9
Eloisa Jacobs,72,12/26/2016,enrolled,9
Anika Campos,73,12/26/2016,enrolled,9
Shirley Martins,74,12/26/2016,enrolled,9
Wren Leach,75,12/26/2016,enrolled,9
Sallie Mooney,76,12/26/2016,enrolled,9
Afsana O'Doherty,77,12/26/2016,enrolled,9
Jamie-Leigh Boyd,78,12/26/2016,enrolled,9
Pippa Melia,79,12/26/2016,enrolled,9
Ameena Mcgrath,80,12/26/2016,enrolled,9
Eve Vickers,81,12/26/2016,enrolled,9
Johanna Bate,82,12/26/2016,enrolled,9
Sally Charles,83,12/26/2016,enrolled,9
Lily-Ann Hussain,84,12/26/2016,enrolled,9
Nannie Cantu,85,12/26/2016,enrolled,9
Renesmae Bowman,86,12/26/2016,enrolled,9
Karam Espinosa,87,12/26/2016,enrolled,9
Agata Dillon,88,12/26/2016,enrolled,9
